epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,134.379,1.50099,1.02822,1.42882,0.66104,0.40003,0.47359,0.25012,1.72047,1.86696,1.55387,0.00764875,0.00764875,0.00764875
21,141.979,1.50747,0.99764,1.37379,0.4667,0.45475,0.36185,0.16534,2.17854,2.96917,1.89254,0.007525,0.007525,0.007525
22,148.018,1.51197,0.95657,1.33553,0.69136,0.5681,0.5143,0.25238,1.91011,2.01913,1.80854,0.00740125,0.00740125,0.00740125
23,154.068,1.46744,0.93588,1.3533,0.58491,0.5991,0.60143,0.28459,1.74542,1.79786,1.63325,0.0072775,0.0072775,0.0072775
24,160.538,1.51365,0.99031,1.43808,0.64268,0.68746,0.6837,0.36292,1.65201,1.85452,1.5441,0.00715375,0.00715375,0.00715375
25,166.532,1.38577,0.89539,1.3325,0.71259,0.85728,0.85169,0.46744,1.53646,1.05225,1.44022,0.00703,0.00703,0.00703
26,172.995,1.46366,0.87637,1.29921,0.71802,0.8497,0.8725,0.49723,1.48959,1.00255,1.41352,0.00690625,0.00690625,0.00690625
27,184.548,1.46494,0.91538,1.32654,0.68027,0.77679,0.76936,0.39417,1.68362,1.10189,1.56307,0.0067825,0.0067825,0.0067825
28,190.786,1.46181,0.92451,1.36008,0.87239,0.55901,0.66746,0.36237,1.77571,1.2455,1.58796,0.00665875,0.00665875,0.00665875
29,196.929,1.42751,0.92429,1.33063,0.85996,0.67863,0.80219,0.40189,1.64381,0.99147,1.51879,0.006535,0.006535,0.006535
30,203.117,1.40441,0.86086,1.3576,0.48447,0.51047,0.57187,0.28521,1.84938,1.41228,1.59521,0.00641125,0.00641125,0.00641125
31,209.228,1.37469,0.84687,1.31851,0.79672,0.84091,0.85103,0.49135,1.53064,0.83034,1.42606,0.0062875,0.0062875,0.0062875
32,215.404,1.37454,0.86467,1.37377,0.57539,0.57398,0.58517,0.3207,2.04121,1.264,1.80281,0.00616375,0.00616375,0.00616375
33,221.377,1.37567,0.86302,1.25474,0.75056,0.85326,0.84949,0.48625,1.61593,0.90563,1.48008,0.00604,0.00604,0.00604
34,227.539,1.42972,0.89606,1.36317,0.83831,0.86385,0.88256,0.53637,1.43264,0.77516,1.37395,0.00591625,0.00591625,0.00591625
35,238.893,1.3329,0.8243,1.30923,0.79394,0.88736,0.911,0.55477,1.42498,0.80153,1.36427,0.0057925,0.0057925,0.0057925
36,245.215,1.33876,0.81749,1.29003,0.74673,0.89591,0.88953,0.54545,1.3937,0.94496,1.33756,0.00566875,0.00566875,0.00566875
37,251.258,1.39704,0.83218,1.27324,0.68414,0.75735,0.7746,0.40625,1.71922,1.10803,1.49582,0.005545,0.005545,0.005545
38,257.1,1.35267,0.80883,1.28309,0.83583,0.80885,0.88011,0.52397,1.38555,0.83829,1.35582,0.00542125,0.00542125,0.00542125
39,263.126,1.44793,1.13826,1.40471,0.64094,0.86609,0.85295,0.50168,1.46085,0.8736,1.41844,0.0052975,0.0052975,0.0052975
40,269.121,1.33574,0.78749,1.28422,0.72752,0.83463,0.85424,0.50189,1.42795,0.87227,1.36491,0.00517375,0.00517375,0.00517375
41,275.254,1.29976,0.78131,1.22396,0.76267,0.89353,0.91672,0.56577,1.35777,0.92302,1.32168,0.00505,0.00505,0.00505
42,286.268,1.29639,0.81534,1.29903,0.9383,0.84955,0.91132,0.55119,1.36299,0.73319,1.32322,0.00492625,0.00492625,0.00492625
43,292.401,1.27566,0.76605,1.26326,0.72765,0.87152,0.87823,0.5316,1.38992,0.88238,1.32778,0.0048025,0.0048025,0.0048025
44,298.485,1.36187,0.78701,1.34527,0.81675,0.82675,0.9163,0.56748,1.39515,0.77752,1.33937,0.00467875,0.00467875,0.00467875
45,305.031,1.32699,0.78077,1.27018,0.79428,0.83453,0.90872,0.55309,1.41112,0.77704,1.32835,0.004555,0.004555,0.004555
46,311.136,1.31457,0.75274,1.24279,0.75374,0.80072,0.86783,0.51123,1.43119,0.83963,1.34848,0.00443125,0.00443125,0.00443125
47,317.316,1.35429,0.76145,1.29966,0.85351,0.84513,0.90133,0.53621,1.35133,0.72497,1.29288,0.0043075,0.0043075,0.0043075
48,323.233,1.33136,0.78302,1.3064,0.85275,0.83011,0.89576,0.55772,1.36109,0.73625,1.30121,0.00418375,0.00418375,0.00418375
49,329.362,1.27938,0.7605,1.23683,0.90165,0.78954,0.85095,0.47795,1.48572,0.79896,1.34714,0.00406,0.00406,0.00406
50,335.22,1.25888,0.76644,1.26425,0.76176,0.77193,0.86745,0.52142,1.36171,0.83868,1.29095,0.00393625,0.00393625,0.00393625
51,341.168,1.3048,0.74514,1.2088,0.64117,0.76277,0.81786,0.38768,1.80091,1.17022,1.4948,0.0038125,0.0038125,0.0038125
52,347.098,1.24612,0.73089,1.2208,0.83763,0.75017,0.87225,0.51221,1.47551,0.8933,1.34391,0.00368875,0.00368875,0.00368875
53,353.007,1.29869,0.74821,1.23464,0.8617,0.80842,0.89424,0.56324,1.32983,0.73546,1.26874,0.003565,0.003565,0.003565
54,358.783,1.26547,0.72635,1.21164,0.88359,0.83871,0.89684,0.59001,1.27304,0.66178,1.25442,0.00344125,0.00344125,0.00344125
55,365.062,1.20774,0.66963,1.18229,0.82305,0.88189,0.89955,0.58213,1.27075,0.63265,1.26852,0.0033175,0.0033175,0.0033175
56,370.88,1.20647,0.69892,1.19969,0.86212,0.87548,0.89262,0.58819,1.25506,0.62043,1.25811,0.00319375,0.00319375,0.00319375
57,377.104,1.20214,0.67452,1.2267,0.87778,0.89454,0.89371,0.60166,1.25837,0.60541,1.24984,0.00307,0.00307,0.00307
58,388.6,1.22348,0.6839,1.19885,0.9084,0.89008,0.90746,0.59711,1.28064,0.61928,1.24792,0.00294625,0.00294625,0.00294625
59,394.774,1.21256,0.70124,1.23912,0.83234,0.89544,0.90433,0.57759,1.29912,0.6541,1.26001,0.0028225,0.0028225,0.0028225
